,name,state,level4,level3,level2,level1,Molecular Weight,logP,Water Solubility,logS,Bioavailability,pKa (strongest acidic),Refractivity,Number of Rings,H Bond Donor Count,Rotatable Bond Count,Polar Surface Area (PSA),pKa (strongest basic),Ghose Filter,Monoisotopic Weight,MDDR-Like Rule,Polarizability,H Bond Acceptor Count,Physiological Charge,Rule of Five
5,Bivalirudin,solid,B01AE,B01A,B01,B,2180.2853,-14.0,0.0464,-4.7,0.0,2.78,543.33,6.0,28.0,66.0,901.57,11.88,0.0,2178.985813062,1.0,218.54,37.0,-4.0,0.0
6,Leuprolide,solid,L02AE,L02A,L02,L,1209.3983,-2.4,0.0338,-4.6,0.0,9.49,327.24,6.0,16.0,32.0,429.04,11.92,0.0,1208.645462232,1.0,125.24,16.0,1.0,0.0
13,Goserelin,solid,L02AE,L02A,L02,L,1269.4105,-5.1,0.0283,-4.6,0.0,9.36,325.84,6.0,17.0,33.0,495.89,10.91,0.0,1268.641439486,1.0,130.74,18.0,1.0,0.0
25,Gramicidin D,liquid,R02AB,R02A,R02,R,1811.253,5.96,0.0039,-5.7,0.0,11.56,492.33,8.0,20.0,50.0,519.89,,0.0,1810.033419343,1.0,194.73,16.0,0.0,0.0
33,Desmopressin,solid,H01BA,H01B,H01,H,1069.22,-6.1,0.11,-4.0,0.0,9.5,279.78,4.0,14.0,19.0,435.41,11.77,0.0,1068.426955905,1.0,104.78,15.0,1.0,0.0
47,Cetrorelix,solid,H01CC,H01C,H01,H,1431.038,-1.7,0.00694,-5.3,0.0,9.5,384.16,6.0,17.0,38.0,495.67,11.79,0.0,1429.669818444,1.0,148.93,18.0,1.0,0.0
74,Daptomycin,solid,J01XX,J01X,J01,J,1620.693,-9.4,0.0173,-5.0,0.0,2.98,393.57,4.0,22.0,35.0,702.02,9.59,0.0,1619.71036644,1.0,158.96,27.0,-3.0,0.0
97,Abarelix,solid,L02BX,L02B,L02,L,1416.09,-0.46,0.00371,-5.6,0.0,9.47,373.91,6.0,13.0,38.0,424.98,10.66,0.0,1414.6840715,1.0,149.31,16.0,1.0,0.0
105,Pyridoxal phosphate,solid,A11HA,A11H,A11,A,247.1419,-2.1,5.7,-1.6,1.0,1.68,54.75,1.0,3.0,4.0,116.95,4.11,0.0,247.024573569,0.0,20.9,6.0,-2.0,1.0
106,Cyanocobalamin,solid,B03BA,B03B,B03,B,1355.3652,-3.2,0.0202,-4.8,0.0,1.82,337.48,8.0,9.0,27.0,477.85,8.68,0.0,1354.5674053,1.0,138.79,18.0,3.0,0.0
109,Ademetionine,solid,A16AA,A16A,A16,A,398.44,-5.3,1.62,-2.4,1.0,1.7,107.07,3.0,4.0,7.0,185.46,9.41,0.0,398.137239006,1.0,39.26,10.0,1.0,1.0
110,Pyruvic acid,liquid,,,,,88.0621,0.066,134.0,0.18,1.0,2.93,17.99,0.0,1.0,1.0,54.37,-9.6,0.0,88.016043994,0.0,7.31,3.0,-1.0,1.0
112,Biotin,solid,A11HA,A11H,A11,A,244.311,0.32,1.22,-2.3,1.0,4.4,60.05,2.0,3.0,5.0,78.43,-1.9,1.0,244.088163078,0.0,24.92,3.0,-1.0,1.0
114,Lysine,solid,V03AF,V03A,V03,V,146.1876,-3.2,105.0,-0.14,1.0,2.74,37.81,0.0,3.0,5.0,89.34,10.29,0.0,146.105527702,0.0,15.84,4.0,1.0,1.0
115,Arginine,solid,V03AF,V03A,V03,V,174.201,-3.2,2.28,-1.9,1.0,2.41,53.92,0.0,5.0,5.0,125.22,12.41,0.0,174.111675712,0.0,17.8,6.0,1.0,1.0
116,Ascorbic acid,solid,G01AD,G01A,G01,G,176.1241,-1.9,245.0,0.14,1.0,4.16,37.03,1.0,4.0,2.0,107.22,-3.0,0.0,176.032087988,0.0,14.93,5.0,-1.0,1.0
119,Ornithine,solid,A05BA,A05B,A05,A,132.161,-3.7,172.0,0.11,1.0,2.67,33.21,0.0,3.0,4.0,89.34,10.29,0.0,132.089877638,0.0,13.85,4.0,1.0,1.0
120,L-Glutamine,solid,A16AA,A16A,A16,A,146.1445,-4.0,97.8,-0.17,1.0,2.15,33.11,0.0,3.0,4.0,106.41,9.31,0.0,146.069142196,0.0,13.87,4.0,0.0,1.0
124,Methionine,solid,V03AB,V03A,V03,V,149.211,-2.2,23.9,-0.8,1.0,2.53,37.59,0.0,2.0,4.0,63.32,9.5,0.0,149.051049291,0.0,15.5,3.0,0.0,1.0
126,Calcitriol,solid,D05AX,D05A,D05,D,416.6365,4.35,0.00667,-4.8,1.0,14.39,126.53,3.0,3.0,6.0,60.69,-1.3,0.0,416.329045274,1.0,51.13,3.0,0.0,1.0
130,Riboflavin,solid,A11HA,A11H,A11,A,376.3639,-0.92,0.657,-2.8,1.0,5.97,96.27,3.0,5.0,5.0,155.05,-0.19,0.0,376.138284392,0.0,37.51,9.0,-1.0,1.0
132,Glutamic acid,solid,A09AB,A09A,A09,A,147.1293,-3.2,80.6,-0.26,1.0,1.88,31.29,0.0,3.0,4.0,100.62,9.54,0.0,147.053157781,0.0,13.32,5.0,-1.0,1.0
133,Glutathione,solid,V03AB,V03A,V03,V,307.323,-4.9,,,1.0,1.94,69.11,0.0,6.0,9.0,158.82,9.22,0.0,307.083805981,0.0,29.3,7.0,-1.0,0.0
135,Glycine,solid,B05CX,B05C,B05,B,75.0666,-3.4,552.0,0.87,1.0,2.31,16.0,0.0,2.0,1.0,63.32,9.24,0.0,75.032028409,0.0,6.65,3.0,0.0,1.0
136,Calcifediol,solid,A11CC,A11C,A11,A,400.6371,5.65,0.0022,-5.3,1.0,18.38,125.06,3.0,2.0,6.0,40.46,-0.98,0.0,400.334130652,1.0,50.38,2.0,0.0,0.0
140,Tryptophan,solid,N06AX,N06A,N06,N,204.2252,-1.1,1.36,-2.2,1.0,2.54,56.2,2.0,3.0,3.0,79.11,9.4,0.0,204.089877638,0.0,21.05,3.0,0.0,1.0
142,Thiamine,solid,A11DA,A11D,A11,A,265.355,-3.1,0.0153,-4.3,1.0,15.5,73.4,2.0,2.0,4.0,75.91,5.54,0.0,265.112306876,0.0,28.14,4.0,1.0,1.0
143,Ergocalciferol,solid,A11CC,A11C,A11,A,396.6484,7.05,0.000433,-6.0,1.0,18.38,128.89,3.0,1.0,5.0,20.23,-1.3,0.0,396.33921603,0.0,50.72,1.0,0.0,0.0
148,Folic acid,solid,B03AE,B03A,B03,B,441.3975,-0.69,0.0761,-3.8,0.0,3.38,111.01,3.0,6.0,9.0,208.99,2.12,0.0,441.139681375,1.0,42.06,12.0,-2.0,0.0
152,Vitamin A,solid,S01XA,S01X,S01,S,286.4516,4.69,0.00758,-4.6,1.0,16.44,97.92,1.0,1.0,5.0,20.23,-2.2,1.0,286.229665582,0.0,36.54,1.0,0.0,1.0
154,Pyridoxine,solid,J04AM,J04A,J04,J,169.1778,-0.95,16.1,-1.0,1.0,9.4,44.11,1.0,3.0,2.0,73.58,5.58,0.0,169.073893223,0.0,17.11,4.0,0.0,1.0
155,Lipoic acid,solid,A16AX,A16A,A16,A,206.326,2.11,0.224,-3.0,1.0,4.52,54.37,1.0,1.0,5.0,37.3,,1.0,206.043521072,0.0,21.74,2.0,-1.0,1.0
